onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	cueStartTime	cueEndTime	trialEndTime	fixStartTime	fixEndTime	runEndTime	stimLeft	stimTop	stimRight
11.0899009705	1.9487659931000003	shape	0.819779157639	1.0	0.8	8.03250193596	11.0217449665	13.0386669636	13.0548889637	14.0371210575	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
14.1556510925	1.881716013	shape	0.777672052383	1.0	0.8	n/a	n/a	16.0373671055	16.0545370579	17.0370891094	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
17.1476781368	1.8890609741000013	shape	0.74346780777	1.0	0.8	n/a	n/a	19.0367391109	19.0528690815	20.0354719162	n/a	circle.bmp	circle.bmp	oval-vertical.bmp
20.1488349438	1.883874177900001	shape	0.686435937881	1.0	0.8	n/a	n/a	22.0327091217	22.0489850044	23.0330901146	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
23.1366529465	1.8987791538	shape	0.75374007225	1.0	0.8	n/a	n/a	25.0354321003	25.051803112	26.0346679688	n/a	oval-horizontal.bmp	circle.bmp	circle.bmp
26.1516559124	1.8834090233000005	shape	0.819612979889	1.0	0.8	n/a	n/a	28.0350649357	28.0510830879	29.0337860584	n/a	oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp
32.100219965	1.9318399428999984	face	0.73569893837	1.0	0.8	29.1093261242	32.0317320824	34.0320599079	34.0488641262	35.031291008	n/a	FAZ_23.jpg	FAZ_23.jpg	FAX_43.jpg
35.1821210384	1.848829984700004	face	0.70260310173	1.0	0.8	n/a	n/a	37.0309510231	37.0477619171	38.0302329063	n/a	26M_FE_O.jpg	26M_FE_O.jpg	27M_FE_O.BMP
38.1576769352	1.872928142500001	face	0.659013032913	1.0	0.8	n/a	n/a	40.0306050777	40.0465769768	41.0298650265	n/a	MFX_16.jpg	MFZ_50.jpg	MFZ_50.jpg
41.1923890114	1.8342990875	face	0.633687019348	1.0	0.8	n/a	n/a	43.0266880989	43.0438640118	44.0270199776	n/a	09F_AN_O.jpg	09F_AN_O.jpg	10F_AN_O.jpg
44.1780259609	1.8507800101999976	face	0.587682008743	1.0	0.8	n/a	n/a	46.0288059711	46.0457270145	47.0288231373	n/a	38M_AN_O.BMP	39M_AN_O.jpg	39M_AN_O.jpg
47.1626870632	1.8654129504999943	face	0.736304998398	1.0	0.8	n/a	n/a	49.0281000137	49.0443091393	50.0277900696	n/a	FFZ_102.jpg	FFX_130.jpg	FFX_130.jpg
53.0765941143	1.9495689868999968	shape	0.849953174591	1.0	0.8	50.1057491302	53.0262320042	55.0261631012	55.0426170826	56.0255899429	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
56.1340100765	1.9077649116999995	shape	0.545037984848	1.0	0.8	n/a	n/a	58.0417749882	58.0575859547	59.0413870811	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
59.1517710686	1.8887178897999988	shape	0.89240694046	1.0	0.8	n/a	n/a	61.0404889584	61.0574839115	62.0400719643	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
62.1534180641	1.883904933899992	shape	0.60248208046	1.0	0.8	n/a	n/a	64.037322998	64.053481102	65.0373780727	n/a	oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp
65.1544880867	1.8855028151999988	shape	0.688157081604	1.0	0.8	n/a	n/a	67.0399909019	67.0564699173	68.0385410786	n/a	circle.bmp	circle.bmp	oval-vertical.bmp
68.1561119556	1.881832122800006	shape	0.601957798004	1.0	0.8	n/a	n/a	70.0379440784	70.0560410023	71.0410590172	n/a	oval-horizontal.bmp	circle.bmp	circle.bmp
74.1264619827	1.9103360176000024	face	0.730468988419	1.0	0.8	71.123980999	74.0367369652	76.0367980003	76.0528321266	77.0358939171	n/a	03F_FE_O.jpg	05F_FE_O.jpg	05F_FE_O.jpg
77.1702561378	1.8649308682000048	face	0.626891851425	1.0	0.8	n/a	n/a	79.035187006	79.0524139404	80.0346620083	n/a	FAZ_32.jpg	FAZ_32.jpg	FAX_45.jpg
80.161853075	1.872740030300008	face	1.28973007202	1.0	0.8	n/a	n/a	82.0345931053	82.0514090061	83.0339801311	n/a	MAZ_128.jpg	MAZ_101.jpg	MAZ_101.jpg
83.1849291325	1.845698833399993	face	1.01960706711	1.0	0.8	n/a	n/a	85.0306279659	85.0469830036	86.0311391354	n/a	11F_AN_O.jpg	11F_AN_O.jpg	12F_AN_O.jpg
86.1822910309	1.8504459857999933	face	0.604966878891	1.0	0.8	n/a	n/a	88.0327370167	88.0500369072	89.0328221321	n/a	26M_FE_O.jpg	33M_FE_O.jpg	33M_FE_O.jpg
89.1673099995	1.8657889365999976	face	0.717438220978	1.0	0.8	n/a	n/a	91.0330989361	91.048995018	92.0311589241	n/a	MFZ_132.jpg	MFZ_132.jpg	MFZ_120.jpg
