onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	cueStartTime	cueEndTime	trialEndTime	fixStartTime	fixEndTime	runEndTime	stimLeft	stimTop	stimRight
11.0907440186	1.9487078188999991	shape	1.6356780529	1.0	0.8	8.03293085098	11.0233998299	13.0394518375	13.0561408997	14.0384938717	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
14.1734158993	1.8639090060999983	shape	0.785916090012	1.0	0.8	n/a	n/a	16.0373249054	16.0548198223	17.0375869274	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
17.1561558247	1.880994081499999	shape	0.744776010513	1.0	0.8	n/a	n/a	19.0371499062	19.0534529686	20.0359158516	n/a	circle.bmp	circle.bmp	oval-vertical.bmp
20.1541469097	1.8823070526000016	shape	0.676951169968	1.0	0.8	n/a	n/a	22.0364539623	22.052467823	23.0356659889	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
23.1532039642	1.8818919658999995	shape	0.708923101425	1.0	0.8	n/a	n/a	25.0350959301	25.0520410538	26.0344009399	n/a	oval-horizontal.bmp	circle.bmp	circle.bmp
26.1518788338	1.880695104599997	shape	0.970849990845	1.0	0.8	n/a	n/a	28.0325739384	28.0479300022	29.0334608555	n/a	oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp
32.1178629398	1.9150500298	face	0.752911806107	1.0	0.8	29.1165299416	32.0328199863	34.0329129696	34.0488839149	35.0317568779	n/a	FAZ_23.jpg	FAZ_23.jpg	FAX_43.jpg
35.2017469406	1.8300330638999969	face	0.788434028625	1.0	0.8	n/a	n/a	37.0317800045	37.048486948	38.0309400558	n/a	26M_FE_O.jpg	26M_FE_O.jpg	27M_FE_O.BMP
38.1813139915	1.8483719826	face	0.635058164597	1.0	0.8	n/a	n/a	40.0296859741	40.046435833	41.029227972	n/a	MFX_16.jpg	MFZ_50.jpg	MFZ_50.jpg
41.2139019966	1.8183889389	face	0.760507106781	1.0	0.8	n/a	n/a	43.0322909355	43.0458848476	44.0291130543	n/a	09F_AN_O.jpg	09F_AN_O.jpg	10F_AN_O.jpg
44.2073340416	1.820931911499997	face	0.641936063766	1.0	0.8	n/a	n/a	46.0282659531	46.0449728966	47.0279068947	n/a	38M_AN_O.BMP	39M_AN_O.jpg	39M_AN_O.jpg
47.1763529778	1.8666319847	face	1.0035469532	1.0	0.8	n/a	n/a	49.0429849625	49.0594580173	50.0419268608	n/a	FFZ_102.jpg	FFX_130.jpg	FFX_130.jpg
53.0775330067	1.949201822199996	shape	1.88452196121	1.0	0.8	50.1309788227	53.0278279781	55.0267348289	55.0424890518	56.0421340466	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
