onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	cueStartTime	cueEndTime	trialEndTime	fixStartTime	fixEndTime	runEndTime	stimLeft	stimTop	stimRight
11.0810339451	1.9432649612000008	shape	1.71592187881	1.0	0.8	8.03316187859	11.0246109962	13.0242989063	13.0402309895	14.039388895	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
14.1652400494	1.8751900196	shape	1.21306610107	0.0	0.8	n/a	n/a	16.040430069	16.0568070412	17.0393998623	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
17.1404659748	1.899415969899998	shape	0.79070687294	1.0	0.8	n/a	n/a	19.0398819447	19.0559530258	20.03916502	n/a	circle.bmp	circle.bmp	oval-vertical.bmp
20.1534590721	1.8819158077000004	shape	0.736965894699	1.0	0.8	n/a	n/a	22.0353748798	22.0528559685	23.0374479294	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
23.1881818771	1.8495171070000005	shape	0.718153953552	1.0	0.8	n/a	n/a	25.0376989841	25.0542829037	26.0376729965	n/a	oval-horizontal.bmp	circle.bmp	circle.bmp
26.1388208866	1.8990881442999985	shape	0.752389192581	1.0	0.8	n/a	n/a	28.0379090309	28.054669857	29.037101984	n/a	oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp
32.104241848	1.931648015999997	face	0.83694601059	1.0	0.8	29.1113739014	32.0358669758	34.035889864	34.0521230698	35.0349018574	n/a	FAZ_23.jpg	FAZ_23.jpg	FAX_43.jpg
35.179309845	1.8556141852999983	face	0.994813919067	1.0	0.8	n/a	n/a	37.0349240303	37.0512709618	38.0341670513	n/a	26M_FE_O.jpg	26M_FE_O.jpg	27M_FE_O.BMP
38.1619989872	1.866884946799999	face	0.756308794022	1.0	0.8	n/a	n/a	40.028883934	40.0460410118	41.0288729668	n/a	MFX_16.jpg	MFZ_50.jpg	MFZ_50.jpg
41.1805250645	1.8504149912999992	face	0.870178937912	1.0	0.8	n/a	n/a	43.0309400558	43.0472209454	44.0329298973	n/a	09F_AN_O.jpg	09F_AN_O.jpg	10F_AN_O.jpg
44.166795969	1.866249084499998	face	0.802352905273	1.0	0.8	n/a	n/a	46.0330450535	46.0494689941	47.0321469307	n/a	38M_AN_O.BMP	39M_AN_O.jpg	39M_AN_O.jpg
47.1665439606	1.8652989863999991	face	0.819705963135	1.0	0.8	n/a	n/a	49.031842947	49.0480949879	50.0309379101	n/a	FFZ_102.jpg	FFX_130.jpg	FFX_130.jpg
53.0806770325	1.949291944500004	shape	0.703818798065	1.0	0.8	50.1023020744	53.0295319557	55.029968977	55.0462059975	56.028990984	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
56.1387848854	1.8904740810000007	shape	0.626743078232	1.0	0.8	n/a	n/a	58.0292589664	58.0458700657	59.0280959606	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
59.1401069164	1.8881659508000013	shape	1.0604300499	1.0	0.8	n/a	n/a	61.0282728672	61.0445189476	62.0398628712	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
62.1454210281	1.8968138694999936	shape	0.65379691124	1.0	0.8	n/a	n/a	64.0422348976	64.057767868	65.0268490314	n/a	oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp
65.1435270309	1.883306980199989	shape	0.705059051514	1.0	0.8	n/a	n/a	67.0268340111	67.0433280468	68.0261769295	n/a	circle.bmp	circle.bmp	oval-vertical.bmp
68.1264679432	1.8997099399000064	shape	0.701885938644	1.0	0.8	n/a	n/a	70.0261778831	70.0426139832	71.0415658951	n/a	oval-horizontal.bmp	circle.bmp	circle.bmp
74.1306359768	1.9102530478999995	face	0.897666931152	1.0	0.8	71.1147680283	74.0404798985	76.0408890247	76.0569169521	77.0398218632	n/a	03F_FE_O.jpg	05F_FE_O.jpg	05F_FE_O.jpg
77.165514946	1.874264955499996	face	0.895179033279	1.0	0.8	n/a	n/a	79.0397799015	79.0561108589	80.0389139652	n/a	FAZ_32.jpg	FAZ_32.jpg	FAX_45.jpg
80.1675798893	1.871242046399999	face	0.958502054214	0.0	0.8	n/a	n/a	82.0388219357	82.0553789139	83.0342378616	n/a	MAZ_128.jpg	MAZ_101.jpg	MAZ_101.jpg
