onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	cueStartTime	cueEndTime	trialEndTime	fixStartTime	fixEndTime	runEndTime	stimLeft	stimTop	stimRight
11.0631878376	1.9688251019000005	shape	1.15066599846	1.0	0.8	8.02534389496	11.0153839588	13.0320129395	13.0365688801	14.0309839249	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
14.146987915	1.8844048976999976	shape	0.65311217308	1.0	0.8	n/a	n/a	16.0313928127	16.0355949402	17.0311658382	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
17.1307318211	1.9003641605000008	shape	0.58820605278	1.0	0.8	n/a	n/a	19.0310959816	19.0348930359	20.0303390026	n/a	circle.bmp	circle.bmp	oval-vertical.bmp
20.1272850037	1.903169870300001	shape	0.514499902725	1.0	0.8	n/a	n/a	22.030454874	22.0344848633	23.0297849178	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
23.1279168129	1.9022781848999983	shape	0.530744075775	1.0	0.8	n/a	n/a	25.0301949978	25.0338759422	26.0301229954	n/a	oval-horizontal.bmp	circle.bmp	circle.bmp
26.1289420128	1.901224851600002	shape	0.597030162811	1.0	0.8	n/a	n/a	28.0301668644	28.0342638493	29.0293238163	n/a	oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp
32.0947318077	1.9355330467000016	face	0.662951946259	1.0	0.8	29.103771925	32.0290498734	34.0302648544	34.0349140167	35.0285868645	n/a	FAZ_23.jpg	FAZ_23.jpg	FAX_43.jpg
35.1745789051	1.854552984199998	face	0.561780929565	1.0	0.8	n/a	n/a	37.0291318893	37.0330889225	38.0286138058	n/a	26M_FE_O.jpg	26M_FE_O.jpg	27M_FE_O.BMP
38.1544668674	1.873054981300001	face	0.587126016617	1.0	0.8	n/a	n/a	40.0275218487	40.0311558247	41.0279438496	n/a	MFX_16.jpg	MFZ_50.jpg	MFZ_50.jpg
41.1806199551	1.8484609126999985	face	0.868894815445	1.0	0.8	n/a	n/a	43.0290808678	43.03272295	44.0275838375	n/a	09F_AN_O.jpg	09F_AN_O.jpg	10F_AN_O.jpg
44.1626429558	1.8655219077999945	face	0.519434928894	1.0	0.8	n/a	n/a	46.0281648636	46.0317959785	47.0276257992	n/a	38M_AN_O.BMP	39M_AN_O.jpg	39M_AN_O.jpg
47.1524147987	1.875889062900001	face	0.726349115372	1.0	0.8	n/a	n/a	49.0283038616	49.0319468975	50.0270628929	n/a	FFZ_102.jpg	FFX_130.jpg	FFX_130.jpg
53.0646038055	1.9625329972000003	shape	0.61652803421	1.0	0.8	50.1017439365	53.026597023	55.0271368027	55.0316138268	56.0267620087	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
56.1263139248	1.9005439281	shape	0.461298942566	1.0	0.8	n/a	n/a	58.0268578529	58.0304899216	59.0260770321	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
59.1260278225	1.9000811577000007	shape	0.70903301239	1.0	0.8	n/a	n/a	61.0261089802	61.0297679901	62.0256090164	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
