onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	cueStartTime	cueEndTime	trialEndTime	fixStartTime	fixEndTime	runEndTime	stimLeft	stimTop	stimRight
11.0816290379	1.9349968432999989	shape	1.20624804497	1.0	0.8	8.02584791183	11.0155260563	13.0166258812	13.0320680141	14.0314970016	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
14.1499018669	1.8814051151	shape	1.46644902229	0.0	0.8	n/a	n/a	16.031306982	16.0477209091	17.0294668674	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
17.1317059994	1.898552894599998	shape	1.52015399933	1.0	0.8	n/a	n/a	19.030258894	19.0468289852	20.0292758942	n/a	circle.bmp	circle.bmp	oval-vertical.bmp
20.1353728771	1.8941349983	shape	1.42991900444	1.0	0.8	n/a	n/a	22.0295078754	22.0459558964	23.0286428928	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
23.1293680668	1.8994188309	shape	1.57877397537	1.0	0.8	n/a	n/a	25.0287868977	25.045140028	26.027397871	n/a	oval-horizontal.bmp	circle.bmp	circle.bmp
26.129128933	1.8941171168999984	shape	1.34277510643	1.0	0.8	n/a	n/a	28.0232460499	28.0400910378	29.0235500336	n/a	oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp
32.0930559635	1.934243917499998	face	1.25221920013	1.0	0.8	29.0925588608	32.0268359184	34.027299881	34.0433218479	35.0264649391	n/a	FAZ_23.jpg	FAZ_23.jpg	FAX_43.jpg
35.1778769493	1.8481779099000024	face	1.28586888313	1.0	0.8	n/a	n/a	37.0260548592	37.042388916	38.0252859592	n/a	26M_FE_O.jpg	26M_FE_O.jpg	27M_FE_O.BMP
38.1426270008	1.881701946300005	face	1.63297915459	1.0	0.8	n/a	n/a	40.0243289471	40.0420370102	41.0243489742	n/a	MFX_16.jpg	MFZ_50.jpg	MFZ_50.jpg
41.176420927	1.8481271267	face	1.43711495399	1.0	0.8	n/a	n/a	43.0245480537	43.0407869816	44.0229249001	n/a	09F_AN_O.jpg	09F_AN_O.jpg	10F_AN_O.jpg
44.1584260464	1.8654689788999967	face	1.68644690514	1.0	0.8	n/a	n/a	46.0238950253	46.0401730537	47.0228898525	n/a	38M_AN_O.BMP	39M_AN_O.jpg	39M_AN_O.jpg
47.1396589279	1.8954129218999969	face	1.68759918213	1.0	0.8	n/a	n/a	49.0350718498	49.0515248775	50.0180258751	n/a	FFZ_102.jpg	FFX_130.jpg	FFX_130.jpg
53.0715298653	1.951206207200002	shape	1.67200493813	1.0	0.8	50.0878639221	53.0219500065	55.0227360725	55.0385129452	56.0215609074	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
56.1383068562	1.8825731276999988	shape	1.85234689713	1.0	0.8	n/a	n/a	58.0208799839	58.0378248692	59.0200350285	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
59.1235420704	1.896515846200004	shape	n/a	0.0	0.8	n/a	n/a	61.0200579166	61.0366959572	62.0194020271	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
62.1193919182	1.8998920917000035	shape	0.844393014908	1.0	0.8	n/a	n/a	64.0192840099	64.035779953	65.0182819366	n/a	oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp
