onset	duration	trial_type	response_time	accuracy_binarized	tr_seconds	cueStartTime	cueEndTime	trialEndTime	fixStartTime	fixEndTime	runEndTime	stimLeft	stimTop	stimRight
11.0887708664	1.946967124899999	shape	1.11836504936	1.0	0.8	8.04660201073	11.0359129906	13.0357379913	13.0518929958	14.0345687866	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
14.150924921	1.883921861700001	shape	0.987447977066	1.0	0.8	n/a	n/a	16.0348467827	16.0511388779	17.0335769653	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
17.1416518688	1.8920800685999983	shape	0.76268696785	1.0	0.8	n/a	n/a	19.0337319374	19.0502929688	20.0330498219	n/a	circle.bmp	circle.bmp	oval-vertical.bmp
20.1437108517	1.9059870243	shape	0.809573888779	1.0	0.8	n/a	n/a	22.049697876	22.0659430027	23.0486118793	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
23.161703825	1.8840019703000013	shape	0.87086391449	1.0	0.8	n/a	n/a	25.0457057953	25.0610928535	26.0454409122	n/a	oval-horizontal.bmp	circle.bmp	circle.bmp
26.1641077995	1.8844511508999984	shape	0.872627973557	1.0	0.8	n/a	n/a	28.0485589504	28.0645599365	29.047470808	n/a	oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp
32.1139659882	1.9325699806000003	face	1.33717799187	1.0	0.8	29.1187129021	32.0464758873	34.0465359688	34.0627758503	35.0452158451	n/a	FAZ_23.jpg	FAZ_23.jpg	FAX_43.jpg
35.1954858303	1.8497321605999983	face	n/a	0.0	0.8	n/a	n/a	37.0452179909	37.0617239475	38.044508934	n/a	26M_FE_O.jpg	26M_FE_O.jpg	27M_FE_O.BMP
38.1781938076	1.866151094399996	face	0.811417818069	1.0	0.8	n/a	n/a	40.044344902	40.060863018	41.0435698032	n/a	MFX_16.jpg	MFZ_50.jpg	MFZ_50.jpg
41.2060358524	1.8375620842000016	face	0.657269954681	1.0	0.8	n/a	n/a	43.0435979366	43.0600199699	44.0429480076	n/a	09F_AN_O.jpg	09F_AN_O.jpg	10F_AN_O.jpg
44.1893839836	1.850860834099997	face	1.07034277916	1.0	0.8	n/a	n/a	46.0402448177	46.0562038422	47.0401339531	n/a	38M_AN_O.BMP	39M_AN_O.jpg	39M_AN_O.jpg
47.1750218868	1.867269992899999	face	1.50271701813	1.0	0.8	n/a	n/a	49.0422918797	49.05879879	50.0415589809	n/a	FFZ_102.jpg	FFX_130.jpg	FFX_130.jpg
53.092181921	1.9486360550000013	shape	1.16772007942	1.0	0.8	50.1118659973	53.0404667854	55.040817976	55.0570688248	56.0394778252	n/a	oval-horizontal.bmp	oval-vertical.bmp	oval-vertical.bmp
56.1593229771	1.879899978600001	shape	0.730408906937	1.0	0.8	n/a	n/a	58.0392229557	58.0557749271	59.0385789871	n/a	circle.bmp	oval-vertical.bmp	oval-vertical.bmp
59.1394758224	1.8993639946000016	shape	1.4957909584	1.0	0.8	n/a	n/a	61.038839817	61.0553069115	62.0378739834	n/a	oval-horizontal.bmp	oval-horizontal.bmp	oval-vertical.bmp
62.1484029293	1.8890969752999995	shape	1.00991797447	1.0	0.8	n/a	n/a	64.0374999046	64.0540688038	65.0368800163	n/a	oval-horizontal.bmp	oval-horizontal.bmp	circle.bmp
65.1500639915	1.8840739726999944	shape	0.753744840622	1.0	0.8	n/a	n/a	67.0341379642	67.0509059429	68.0336048603	n/a	circle.bmp	circle.bmp	oval-vertical.bmp
68.1513199806	1.8851399422000128	shape	1.08933997154	1.0	0.8	n/a	n/a	70.0364599228	70.0530138016	71.0357379913	n/a	oval-horizontal.bmp	circle.bmp	circle.bmp
74.1363658905	1.898025989499999	face	n/a	0.0	0.8	71.1124308109	74.0346930027	76.03439188	76.050508976	77.0333669186	n/a	03F_FE_O.jpg	05F_FE_O.jpg	05F_FE_O.jpg
77.1680808067	1.8657720088999952	face	0.783371210098	1.0	0.8	n/a	n/a	79.0338528156	79.0502138138	80.0492329597	n/a	FAZ_32.jpg	FAZ_32.jpg	FAX_45.jpg
80.1742038727	1.8753359317999951	face	1.38332796097	1.0	0.8	n/a	n/a	82.0495398045	82.0656919479	83.0485978127	n/a	MAZ_128.jpg	MAZ_101.jpg	MAZ_101.jpg
83.2121698856	1.8355231285	face	n/a	0.0	0.8	n/a	n/a	85.0476930141	85.0647888184	86.0430748463	n/a	11F_AN_O.jpg	11F_AN_O.jpg	12F_AN_O.jpg
